Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
SP.RUR.TOTL.ZG,"2,4485809397","2,4603505499","2,470468557","2,4107533721","2,390046022","2,3924323674","2,4024317725","2,4065423803","2,3841480551","2,3281020487","2,2568304455","2,1830819991","2,1275824237","1,5383651007","1,5354603502","1,5747368993","1,6148247084","1,6525494234","1,6962796672","1,7555397295","1,8122581351","1,8730703196","1,9139337703","1,621392301","1,5895899996","1,5465019012","1,4919856657","1,4355894669","1,3646851577","1,2909934459","1,1994019112","1,1064876764","1,009048226","1,1031153752","1,0596626057","0,9953836825","0,9285953999","0,8618395827","0,7809029617","0,6921961756","0,596583903","0,5090741077","0,4185698972","1,1097505262","1,1610907834","1,0626793471","0,9591451517","0,8682346568","0,8061999303","0,7859521231","0,7844393122","0,7934978015","0,7988578488","0,7754426703","0,7397728525"
SP.RUR.TOTL,1226039,1256578,1288008,1319436,1351351,1384071,1417725,1452257,1487297,1522329,1557076,1591442,1625664,1650866,1676410,1703018,1730742,1759581,1789683,1821379,1854688,1889755,1926272,1957759,1989128,2020129,2050495,2080144,2108726,2136126,2161901,2185955,2208124,2232617,2256401,2278973,2300234,2320144,2338333,2354575,2368664,2380753,2390739,2417418,2445650,2471778,2495600,2517362,2537739,2557763,2577906,2598443,2619284,2639674,2659274
SP.POP.TOTL.FE.ZS,"50,7637669606","50,7184394248","50,6660476518","50,607504143","50,5440862402","50,4768862747","50,4064147184","50,3335766095","50,2601131482","50,1879120355","50,1181842947","50,0516495718","49,9881967435","49,9271929732","49,8678366219","49,8098148167","49,7533182694","49,6992036793","49,6487525196","49,6034388988","49,5642055594","49,5309119431","49,5031671719","49,481273566","49,4654894541","49,4556386931","49,4515803528","49,4522489514","49,4554027611","49,45838224","49,4594350862","49,4580887921","49,4547613687","49,4497239262","49,4435010842","49,436519044","49,4284901847","49,419337532","49,4099391941","49,4013298223","49,3940731736","49,3887961529","49,3849724477","49,3806468962","49,3733412206","49,361581491","49,3449799475","49,3248085871","49,3033638597","49,2837043745","49,2680450837","49,2568118628","49,2495879553","49,2466131502","49,2479379683"
SP.POP.TOTL,1902871,1953331,2005337,2058916,2114095,2170853,2229373,2289579,2350900,2412565,2474102,2535355,2596741,2659084,2723523,2790964,2861582,2935375,3012833,3094479,3180628,3271454,3366726,3465796,3567750,3671826,3777764,3885433,3994328,4103909,4213740,4323402,4432738,4541902,4651222,4760853,4870695,4980346,5089306,5196935,5302703,5406625,5508615,5607948,5703742,5795493,5882797,5966160,6047131,6127847,6209877,6293763,6379162,6465669,6552518
SP.POP.GROW,"2,6052312329","2,6172322068","2,6276006054","2,6367504275","2,6447194233","2,6493352928","2,6600202147","2,6647577852","2,6430275692","2,5892263311","2,5187005026","2,4456164787","2,3923530563","2,3724505337","2,3944560236","2,4460793047","2,4987562887","2,5460594676","2,6045618695","2,6738723814","2,7459105631","2,8155872829","2,8706224386","2,9001573302","2,899281291","2,8753941016","2,84432142","2,8102131706","2,7640922886","2,7064579327","2,6410680247","2,569197796","2,4974859488","2,4328415224","2,3784113721","2,3296873096","2,2809783515","2,226272915","2,1642108956","2,0927553242","2,014766182","1,9408362902","1,8688176952","1,7871646815","1,6937573451","1,595809584","1,495178257","1,4071175289","1,3480440319","1,3259520072","1,3297624222","1,3418054038","1,3477597744","1,3469746381","1,3342916106"
SP.POP.DPND.YG,"97,9767071433","97,4965623315","97,3246936876","97,2996487195","97,1895233767","96,8650975734","95,9170475476","94,8447922384","93,7278819495","92,6318383848","91,5392316035","90,0422107461","88,4389331788","86,8692243824","85,5005067331","84,3916552146","82,6955729037","81,5337687777","80,7026116091","79,9472936625","79,1662908476","78,5467090711","77,7767767927","77,0048749742","76,4205661111","76,0726823949","75,9651160196","75,9069459025","75,8599871548","75,7374273151","75,477544385","75,1845531263","74,7799197224","74,226797928","73,5004449406","72,6017612057","71,6628195604","70,6122450442","69,4403745367","68,1267649721","66,6692211551","65,3212359188","63,7465415595","62,0601795791","60,4215866739","58,9080357938","57,4155267001","56,1928554673","55,1121225712","53,9960624963","52,7792967227","51,701298506","50,4685396262","49,2043163489","48,0889282384"
SP.POP.DPND.OL,"6,5420339763","6,6038761018","6,6635471713","6,7220920266","6,7793944692","6,8348736196","6,859221866","6,8754311571","6,8887567128","6,9031026537","6,9211196745","6,9377746942","6,9523963597","6,9665693023","6,9819625625","6,9994075098","7,023618915","7,0458077402","7,0680598905","7,0924476412","7,1205506442","7,1449289265","7,1645749436","7,1842227916","7,2091018346","7,2421787944","7,2914271522","7,3372515396","7,3828791632","7,432563919","7,4873471146","7,5783983541","7,6697174148","7,7486681088","7,797627841","7,8105282783","7,8207174779","7,7980292408","7,762145773","7,7379761935","7,7388501513","7,7842687506","7,8473968791","7,9209580381","7,9952295492","8,0665640415","8,166045515","8,2659706987","8,3705534257","8,4848830349","8,6126257245","8,7417745611","8,8794466551","9,033476373","9,2149447992"
SP.POP.DPND,"104,5187411195","104,1004384333","103,9882408589","104,0217407461","103,9689178459","103,6999711929","102,7762694136","101,7202233956","100,6166386622","99,5349410385","98,460351278","96,9799854403","95,3913295385","93,8357936848","92,4824692956","91,3910627244","89,7191918187","88,5795765179","87,7706714997","87,0397413038","86,2868414918","85,6916379975","84,9413517363","84,1890977657","83,6296679457","83,3148611893","83,2565431718","83,2441974421","83,242866318","83,1699912341","82,9648914996","82,7629514804","82,4496371371","81,9754660367","81,2980727816","80,4122894841","79,4835370383","78,4102742849","77,2025203097","75,8647411656","74,4080713064","73,1055046694","71,5939384387","69,9811376172","68,4168162231","66,9745998353","65,5815722151","64,4588261659","63,4826759969","62,4809455312","61,3919224472","60,4430730671","59,3479862813","58,2377927219","57,3038730376"
SP.POP.65UP.TO.ZS,"3,1987454746","3,2356011347","3,2666329899","3,2947920168","3,3237389994","3,3553630762","3,3826551232","3,4083995355","3,433791314","3,4595959073","3,4874067439","3,5220708737","3,5581908246","3,5940572017","3,6273238743","3,6571234885","3,702113027","3,7362517566","3,7641980156","3,7919468835","3,8223583519","3,8477386508","3,87397133","3,9004603849","3,9258916684","3,9506774014","3,9788086286","4,0040839721","4,0290131406","4,0577410464","4,0922316042","4,1465725371","4,203744954","4,2580839481","4,3009987483","4,329266205","4,357345307","4,3708409014","4,3803811364","4,3999588219","4,4372087217","4,4968349016","4,5732366484","4,6599041218","4,7472869565","4,8310126507","4,9317357033","5,0261642329","5,1201470582","5,222078815","5,3364664067","5,4485210199","5,5723620124","5,7087982698","5,8580533468"
SP.POP.1564.TO.ZS,"48,8952745614","48,9954851482","49,0224336358","49,0143842682","49,0270777803","49,0918086116","49,3154353264","49,5736115679","49,8463141775","50,1165357203","50,3878983162","50,7665790392","51,1793436465","51,5900588323","51,952783215","52,2490436996","52,7094802805","53,0280117532","53,2564533116","53,4645735195","53,680656776","53,8527211448","54,0711955769","54,2920298829","54,4574311541","54,5509509438","54,5683107785","54,5719872148","54,57238364","54,5940955318","54,6552943466","54,7156845466","54,8096458667","54,9524626467","55,1577843414","55,4285965141","55,7154163831","56,0505836341","56,4326059388","56,8618810895","57,3367959699","57,7682380413","58,2771168433","58,8300569121","59,376493537","59,8893484989","60,3931939178","60,8054929804","61,1685607605","61,5456782782","61,9609695973","62,3274025412","62,7557350009","63,1960281295","63,571225596"
